,일시,eocs지역명,평균기온(°C),평균최고기온(°C),평균최저기온(°C),평균상대습도(%),최소상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),최대풍속(m/s),합계 일조시간(hr),일조율(%),최심적설(cm),평균지면온도(°C)
0,2020-01,강원,0.7285714285714285,5.821428571428571,-3.3285714285714287,66.85714285714286,18.142857142857142,85.33571428571429,1.5785714285714287,7.5,158.95000000000002,51.848571428571425,0.0642857142857143,0.43571428571428567
1,2020-01,경기,0.6,6.0600000000000005,-3.8600000000000003,72.8,24.0,70.28,1.1800000000000002,7.1,171.82,55.976,0.0,0.5
2,2020-01,광주전남,4.664285714285714,8.678571428571429,1.2142857142857142,69.42857142857143,20.285714285714285,80.12857142857142,2.7857142857142856,11.814285714285715,132.00714285714284,42.16357142857142,0.0,4.578571428571428
3,2020-01,대구경북,2.8466666666666667,7.693333333333333,-1.1266666666666665,66.4,19.4,89.08,2.14,9.693333333333333,144.28,46.69533333333333,0.6666666666666666,2.393333333333333
4,2020-01,대전충청,1.623076923076923,6.823076923076924,-2.5615384615384613,71.0,20.53846153846154,67.8,1.2999999999999998,8.346153846153847,141.57692307692307,45.75692307692308,0.0,2.0384615384615383
5,2020-01,부산경남,4.20625,9.4875,0.062499999999999986,64.0625,15.625,112.33125,1.63125,9.2875,148.8625,48.32375,0.0,3.6625
6,2020-01,서울,1.6,5.9,-1.7,56.0,17.0,60.5,2.1,7.0,177.9,57.93,0.3,1.0
7,2020-01,인천,1.7666666666666666,5.166666666666667,-1.0666666666666667,64.66666666666667,25.333333333333332,50.96666666666667,3.1,10.966666666666667,184.79999999999998,60.27333333333333,0.0,1.2
8,2020-01,전북,2.58,7.390000000000001,-1.34,75.7,23.7,74.0,1.53,10.66,116.19000000000001,37.266000000000005,0.0,3.08
9,2020-01,제주,8.725,11.2,6.375,70.75,38.25,99.325,4.0249999999999995,13.925,94.625,29.8525,0.0,8.1
10,2020-02,강원,1.7214285714285713,7.114285714285714,-3.2357142857142853,64.14285714285714,16.714285714285715,54.207142857142856,1.7214285714285713,8.535714285714286,180.17857142857142,57.64785714285715,0.42857142857142855,2.5785714285714287
11,2020-02,경기,1.7,7.38,-3.22,73.8,23.0,55.58,1.4,7.779999999999999,175.4,55.938,1.2,2.88
12,2020-02,광주전남,5.135714285714286,10.114285714285714,0.5142857142857143,70.0,20.642857142857142,40.778571428571425,2.742857142857143,10.62142857142857,174.0142857142857,54.86571428571428,1.3571428571428572,5.928571428571429
13,2020-02,대구경북,3.586666666666667,9.226666666666667,-1.4666666666666666,63.8,11.266666666666667,68.0,2.24,9.32,187.34666666666666,59.456,7.7,4.3533333333333335
14,2020-02,대전충청,2.476923076923077,8.23076923076923,-2.6769230769230767,69.76923076923077,16.692307692307693,75.7,1.4461538461538461,7.492307692307692,179.14615384615385,56.885384615384616,1.0076923076923077,3.923076923076923
15,2020-02,부산경남,5.33125,11.16875,0.175,61.125,11.0625,60.43125,1.725,8.2,199.63125,63.499375,0.0,5.81875
16,2020-02,서울,2.5,7.2,-1.3,58.0,14.0,53.1,2.3,8.2,185.0,58.99,5.5,3.1
17,2020-02,인천,2.2333333333333334,5.933333333333334,-1.2,70.0,27.0,40.4,3.1666666666666665,10.533333333333333,169.4333333333333,54.05666666666667,2.6,2.6666666666666665
18,2020-02,전북,3.34,9.040000000000001,-1.5899999999999999,73.4,18.8,58.31,1.6800000000000002,7.489999999999999,178.20999999999998,56.355999999999995,1.04,4.57
19,2020-02,제주,9.025,12.4,5.6,71.0,32.0,66.4,3.9,14.125,153.875,48.24,0.45,9.325
20,2020-03,강원,6.521428571428571,12.85,0.1785714285714286,58.07142857142857,11.5,27.978571428571428,1.95,10.114285714285714,241.85,65.10285714285715,0.5,7.878571428571428
21,2020-03,경기,6.9,13.88,0.2,60.8,15.2,17.479999999999997,1.86,9.559999999999999,248.14000000000001,66.80199999999999,0.0,7.74
22,2020-03,광주전남,8.371428571428572,14.042857142857143,2.892857142857143,64.85714285714286,12.857142857142858,40.635714285714286,3.0,11.4,239.07142857142858,64.29285714285714,0.0,10.528571428571428
23,2020-03,대구경북,8.006666666666666,14.493333333333334,1.7133333333333334,60.266666666666666,13.666666666666666,22.633333333333333,2.3666666666666667,10.626666666666667,232.09333333333333,62.44866666666667,0.29333333333333333,10.073333333333332
24,2020-03,대전충청,7.1461538461538465,13.830769230769231,0.5076923076923077,58.76923076923077,12.846153846153847,21.807692307692307,1.7692307692307692,8.607692307692307,239.33846153846156,64.4,0.0,9.007692307692308
25,2020-03,부산경남,9.3125,15.512500000000001,3.38125,58.875,13.25,43.4125,1.9875,9.4,236.4625,63.745000000000005,0.0,10.96875
26,2020-03,서울,7.7,13.3,2.6,46.0,11.0,16.3,2.5,8.2,262.9,70.77,0.0,8.9
27,2020-03,인천,6.533333333333334,10.733333333333334,2.3333333333333335,59.666666666666664,11.0,8.1,3.8000000000000003,13.366666666666665,263.3333333333333,70.88666666666667,0.0,7.933333333333333
28,2020-03,전북,7.2700000000000005,13.819999999999999,1.15,64.9,13.2,35.61,2.06,9.309999999999999,233.15,62.71900000000001,0.0,9.190000000000001
29,2020-03,제주,11.325,14.8,7.75,68.25,18.5,96.425,3.85,11.899999999999999,212.0,56.985,0.0,13.149999999999999
30,2020-04,강원,9.62857142857143,16.021428571428572,3.2142857142857144,53.357142857142854,10.785714285714286,35.90714285714286,2.1928571428571426,9.207142857142857,250.75714285714284,63.332857142857144,0.0,12.728571428571428
31,2020-04,경기,10.32,17.44,3.4,58.4,14.0,19.7,2.1,8.459999999999999,282.62,71.414,0.0,13.52
32,2020-04,광주전남,10.892857142857142,16.742857142857144,5.364285714285714,59.142857142857146,13.928571428571429,65.0,3.057142857142857,10.671428571428573,270.85,69.16357142857143,0.0,14.321428571428571
33,2020-04,대구경북,11.106666666666666,17.826666666666664,4.52,53.8,11.266666666666667,37.406666666666666,2.6866666666666665,9.746666666666666,261.46,66.288,0.0,15.16
34,2020-04,대전충청,10.215384615384616,17.207692307692305,3.269230769230769,53.84615384615385,10.538461538461538,23.146153846153844,2.0846153846153848,8.792307692307691,278.88461538461536,70.69384615384615,0.0,14.107692307692307
35,2020-04,부산경남,11.887500000000001,18.43125,5.675,53.9375,11.1875,64.15,2.1375,8.90625,263.64375,67.628125,0.0,15.21875
36,2020-04,서울,11.1,16.6,6.3,50.0,10.0,16.9,3.0,8.9,283.3,71.59,0.0,15.4
37,2020-04,인천,9.9,13.9,5.933333333333334,60.666666666666664,13.333333333333334,14.933333333333332,3.966666666666667,11.333333333333334,301.7,76.21333333333332,0.0,14.0
38,2020-04,전북,9.760000000000002,16.56,3.3899999999999997,61.3,14.4,36.27,2.2399999999999998,10.03,271.85,69.104,0.0,13.309999999999999
39,2020-04,제주,13.0,16.875,9.425,61.0,17.5,70.9,3.9,10.95,270.025,69.055,0.0,16.0
40,2020-05,강원,16.742857142857144,22.464285714285715,11.728571428571428,70.28571428571429,12.5,119.49285714285715,1.7642857142857142,8.221428571428572,211.27857142857144,47.924285714285716,0.0,20.364285714285717
41,2020-05,경기,17.34,23.439999999999998,12.26,76.2,16.6,116.42,1.46,7.2,192.26,43.638,0.0,20.48
42,2020-05,광주전남,17.45,22.292857142857144,13.185714285714285,77.28571428571429,22.285714285714285,165.42142857142858,2.5928571428571425,9.75,197.83571428571426,45.58142857142857,0.0,20.814285714285713
43,2020-05,대구경북,17.706666666666667,23.613333333333333,12.26,70.06666666666666,19.733333333333334,76.54666666666667,2.06,7.9,234.57999999999998,53.568,0.0,22.48
44,2020-05,대전충청,17.638461538461538,23.49230769230769,12.338461538461539,70.84615384615384,16.76923076923077,91.6846153846154,1.6384615384615384,7.561538461538461,209.80769230769232,47.889230769230764,0.0,21.292307692307695
45,2020-05,부산경남,18.28125,23.90625,13.375,70.875,19.625,84.78125,1.7125,7.16875,219.33125,50.5925,0.0,21.84375
46,2020-05,서울,18.0,23.3,13.7,67.0,11.0,112.4,2.4,7.2,177.9,40.38,0.0,21.4
47,2020-05,인천,15.5,19.666666666666668,12.066666666666668,78.33333333333333,16.666666666666668,149.53333333333333,2.9333333333333336,12.766666666666666,172.29999999999998,39.07666666666667,0.0,18.433333333333334
